SEASON,PLAYER_NAME,PLAYER_ID,ON_ORTG,ON_DRTG,ON_NET,OFF_ORTG,OFF_DRTG,OFF_NET,ON_OFF,ON_POSS_O,ON_POSS_D,OFF_POSS_O,OFF_POSS_D,POSS,GP_PG,MIN_PG,FGA_PG,FTA_PG,PTS_PG,REB_PG,AST_PG,STL_PG,BLK_PG,TOV_PG,FG_PCT_PG,FG3_PCT_PG,TEAM_ABBREVIATION,GP,PTS_100,REB_100,OREB_100,DREB_100,AST_100,STL_100,BLK_100,TOV_100,USG_PCT,STOCKS_100
2021,Sami Whitcomb,1628244,103.0,109.6,-6.6,93.3,105.8,-12.5,5.9,1735.9,1724.1,859.2,869.3,3460.0,30,28.1,8.7,1.1,11.7,5.0,2.7,1.0,0.3,2.1,47.3,42.5,NYL,30,20.2,8.7,0.6,8.1,4.7,1.8,0.6,3.6,19.5,2.4
2021,Allisha Gray,1628277,104.4,104.6,-0.2,106.0,112.0,-6.0,5.9,1385.6,1356.5,1138.1,1132.9,2742.0,25,27.8,9.7,2.6,11.9,5.2,1.7,1.0,0.8,1.4,43.8,36.6,DAL,25,21.6,9.4,2.4,7.0,3.0,1.8,1.5,2.5,22.1,3.3
2021,Mercedes Russell,1628920,108.6,101.0,7.6,106.5,104.5,2.0,5.7,1494.5,1484.5,1092.1,1105.9,2979.0,30,24.7,5.0,1.6,7.3,6.1,1.6,0.9,0.4,1.2,61.7,0.0,SEA,30,14.9,12.4,3.4,9.1,3.3,1.9,0.7,2.5,13.9,2.5999999999999996
2021,Destiny Slocum,1630435,104.8,90.3,14.5,111.9,102.8,9.1,5.4,283.4,282.3,2664.0,2684.9,565.8,21,6.4,1.0,0.2,1.0,0.9000000000000001,0.6,0.1,0.0,0.3,31.8,33.3,LVA,21,7.9,6.799999999999999,1.1,5.7,4.3,1.1,0.4,2.5,10.3,1.5
2021,Michaela Onyenwere,1630446,101.1,107.3,-6.2,98.2,109.7,-11.5,5.2,1436.4,1449.1,1158.7,1144.2,2885.6,32,22.5,7.1,2.1,8.6,2.9,0.6,0.4,0.3,1.1,39.9,32.7,NYL,32,18.4,6.3,1.4,4.9,1.2,0.9,0.6,2.3,20.3,1.5
2021,Crystal Bradford,204325,105.3,110.2,-4.8,99.3,109.2,-9.8,5.0,863.1,863.3,1612.5,1594.1,1726.4,24,18.3,8.0,1.6000000000000003,8.8,3.7999999999999994,1.5,1.2,0.4000000000000001,1.0,42.9,35.8,ATL,24,23.0,9.9,3.4,6.599999999999999,3.9,3.2000000000000006,1.0,2.5,27.0,4.200000000000001
2021,Betnijah Laney-Hamilton,204335,100.9,108.6,-7.8,94.1,106.8,-12.7,4.9,2190.0,2195.3,405.1,398.1,4385.3,32,33.7,14.1,3.8,16.8,4.1,5.2,0.7,0.1,3.7,45.1,31.2,NYL,32,24.3,6.0,1.2,4.8,7.6,1.0,0.1,5.4,28.5,1.1
2021,Sabrina Ionescu,1629477,101.7,108.9,-7.1,95.2,107.1,-11.9,4.8,1828.4,1815.8,766.8,777.5,3644.2,30,30.0,9.9,2.6,11.7,5.7,6.1,0.6,0.5,3.2,37.9,32.5,NYL,30,19.1,9.3,1.1,8.2,10.0,1.0,0.9,5.3,23.4,1.9
2021,Reshanda Gray,204334,109.9,114.6,-4.6,97.9,107.2,-9.3,4.7,416.7,414.6,2178.4,2178.7,831.3,15,14.0,4.3,1.7,5.9,3.5,0.3,0.3,0.3,1.4,53.1,22.2,NYL,15,20.5,12.4,3.0,9.3,1.2,0.9,0.9,4.9,23.2,1.8
2021,Liz Cambage,202633,109.9,97.8,12.1,112.3,104.8,7.4,4.6,1378.2,1385.9,1569.2,1581.4,2764.1,25,23.8,10.3,4.0,14.2,8.2,1.3,0.9,1.6,1.8,54.3,35.7,LVA,25,28.3,16.4,3.1,13.3,2.6,1.8,3.3,3.5,25.1,5.1
2021,Blake Dietrick,204355,100.1,104.2,-4.1,101.6,110.1,-8.5,4.4,264.7,260.0,2210.9,2197.4,524.8,9,15.699999999999998,3.0,0.0,2.3,1.6,1.2,0.6,0.1,0.6,29.6,31.3,ATL,9,7.599999999999999,5.1,1.1,4.0,4.0,1.7999999999999998,0.4,1.7999999999999998,12.2,2.1999999999999997
2021,Jewell Loyd,204319,109.1,102.9,6.2,103.7,101.4,2.2,4.0,1937.4,1923.9,649.2,666.5,3861.3,31,31.0,14.8,3.8,17.9,4.0,3.8,1.5,0.2,2.3,42.0,37.6,SEA,31,28.3,6.4,1.2,5.1,6.0,2.3,0.3,3.6,30.0,2.5999999999999996
2021,Leilani Mitchell,201507,105.7,108.9,-3.2,100.1,107.2,-7.1,3.9,1403.4,1401.2,1060.5,1065.9,2804.6,31,23.4,5.7,0.7,6.4,2.0,2.5,0.5,0.1,1.1,36.0,35.7,WAS,31,13.3,4.1,0.7,3.4,5.2,1.0,0.1,2.4,15.7,1.1
2021,Erica McCall,1628286,103.0,105.3,-2.3,103.4,109.3,-5.9,3.6,678.6,688.6,1785.4,1778.5,1367.1,23,15.5,3.2,1.4,4.1,4.3,0.6,0.3,0.4,0.9,50.0,0.0,WAS,23,12.8,13.5,4.5,9.0,1.8,1.0,1.2,2.7,16.0,2.2
2021,Ruthy Hebard,1630113,107.3,101.4,5.9,105.0,102.4,2.6,3.3,1000.3,1009.2,2313.9,2294.0,2009.6,30,16.8,4.6,1.1,5.8,4.4,0.8,0.7,0.7,0.6,52.9,0.0,CHI,30,16.6,12.7,4.0,8.6,2.2,1.9,1.9,1.7,17.0,3.8
2021,Natasha Cloud,204333,103.1,106.8,-3.8,103.8,110.8,-7.1,3.3,1643.7,1642.5,820.2,824.6,3286.2,27,31.6,7.7,2.0,8.7,3.6,6.4,1.4,0.1,2.2,38.9,27.4,WAS,27,13.7,5.7,0.6,5.1,10.2,2.2,0.2,3.5,17.7,2.4000000000000004
2021,Kahleah Copper,1627674,106.4,102.1,4.3,103.2,101.9,1.4,2.9,2542.2,2545.3,772.1,757.9,5087.5,32,30.8,11.8,3.4,14.4,4.2,1.8,0.9,0.3,1.9,45.9,30.6,CHI,32,22.9,6.6,1.8,4.8,2.8,1.4,0.4,3.0,19.1,1.7999999999999998
2021,Ariel Atkins,1628878,104.3,108.4,-4.1,100.8,107.7,-7.0,2.9,1776.2,1776.4,687.8,690.7,3552.5,30,30.6,13.2,3.9,16.2,2.8,2.6,1.6,0.5,2.0,40.7,35.9,WAS,30,26.3,4.5,1.8,2.7,4.3,2.6,0.9,3.3,28.6,3.5
2021,Kia Nurse,1628915,108.0,105.0,3.0,107.4,107.2,0.2,2.8,1817.4,1823.0,1462.0,1445.0,3640.4,32,26.1,8.5,1.9,9.5,3.5,1.8,0.5,0.1,1.5,35.9,35.3,PHO,32,18.3,6.8,0.8,6.0,3.4,1.0,0.1,2.9,19.1,1.1
2021,Azura Stevens,1628922,109.2,104.2,5.0,102.3,100.0,2.3,2.7,1615.8,1615.4,1698.4,1687.8,3231.3,30,19.6,6.0,1.1,7.4,4.6,0.8,0.8,0.7,0.9,50.0,33.3,CHI,30,18.6,11.5,4.1,7.4,1.9,2.0,1.8,2.4,13.7,3.8
2021,Karlie Samuelson,1628317,99.0,102.4,-3.4,95.7,101.7,-6.0,2.6,385.9,386.7,2080.1,2089.8,772.6,14,14.7,3.1,0.6,3.6,1.9,0.8,0.5,0.0,0.6,36.4,38.7,SEA,14,12.4,6.3,0.7,5.6,2.7,1.7,0.0,1.9,14.4,1.7
2021,Cheyenne Parker-Tyus,204323,109.5,115.7,-6.2,99.3,107.9,-8.5,2.4,514.2,517.9,1961.4,1939.5,1032.0,13,20.800000000000004,8.5,2.2,10.2,4.5,1.2,1.2,0.9000000000000001,1.2,45.0,33.3,ATL,13,24.0,10.5,2.4,8.2,2.8999999999999995,2.7,2.2,2.8999999999999995,27.0,4.9
2021,Shatori Walker-Kimbrough,1628278,101.5,105.0,-3.4,103.8,109.4,-5.6,2.2,660.8,669.6,1811.6,1804.2,1330.3,17,20.6,4.6,2.1,6.9,1.4,0.9,0.8,0.3,1.2,51.3,32.0,WAS,17,16.9,3.4,0.6,2.9,2.3,1.9,0.7,3.0,17.3,2.5999999999999996
2021,Aari McDonald,1630462,102.2,109.0,-6.8,101.0,109.8,-8.9,2.1,947.3,936.0,1528.3,1521.4,1883.3,30,16.4,5.8,1.7,6.3,1.6,2.0,0.8,0.2,1.2,32.2,30.8,ATL,30,18.7,4.9,0.9,4.0,5.8,2.5,0.5,3.5,24.5,3.0
2021,Emma Cannon,1628242,102.3,113.5,-11.2,99.1,112.3,-13.2,2.0,557.0,559.4,1986.3,2000.6,1116.4,20,14.7,5.1,0.9,5.5,3.7,0.9,0.3,0.2,1.6,44.6,29.2,IND,20,18.3,12.3,4.2,8.2,2.8,0.8,0.7,5.3,25.5,1.5
2021,Shavonte Zellous,201919,103.1,106.7,-3.7,103.4,108.9,-5.5,1.9,837.3,840.4,1626.6,1626.6,1677.8,28,15.8,4.1,1.1,4.3,2.4,1.6,0.4,0.2,0.8,37.7,24.4,WAS,28,13.4,7.3,1.8,5.5,4.9,1.2,0.7,2.5,18.0,1.9
2021,Elizabeth Williams,204322,100.6,107.8,-7.3,102.6,111.8,-9.2,1.9,1429.9,1428.0,1045.7,1029.4,2857.9,32,23.8,4.8,1.7,5.8,4.9,1.2,1.1,1.3,0.8,51.6,0.0,ATL,32,12.3,10.4,4.2,6.2,2.5,2.4,2.8,1.7,14.2,5.199999999999999
